Gospels (89 days),, Pentateuch (107 days),,NT Paul (87 days),,Former Prophets + Ezekiel (98 days),,Latter Prophets (94 days),,"The Writings, Part I (86 days)",,"The Writings, Part 2    (85 days)",,"The Writings, Part 3 (101 days)",,NT Non-Paul (83 days),
,,,,,,,,,,,,,,,,,
Matthew,1,Genesis,1-2,Romans,1,Joshua,1-2,Isaiah,1-2,Psalms,1-2,Proverbs,1,Esther,1,Acts,1
Matthew,2,Genesis,3-4,Romans,2,Joshua,3-4,Isaiah,3-4,Psalms,3-4,Proverbs,2,Esther,2,Acts,2
Matthew,3,Genesis,5-6,Romans,3,Joshua,5-6,Isaiah,5-6,Psalms,5-6,Proverbs,3,Esther,3-4,Acts,3
Matthew,4,Genesis,7-8,Romans,4,Joshua,7-8,Isaiah,7-8,Psalms,7-8,Proverbs,4,Esther,5-6,Acts,4
Matthew,5,Genesis,9-10,Romans,5,Joshua,9-10,Isaiah,9-10,Psalms,9-10,Proverbs,5,Esther,7-8,Acts,5
Matthew,6,Genesis,11-12,Romans,6,Joshua,11-12,Isaiah,11-12,Psalms,11-12,Proverbs,6,Esther,9-10,Acts,6
Matthew,7,Genesis,13-14,Romans,7,Joshua,13-14,Isaiah,13-14,Psalms,13-14,Proverbs,7,Daniel,1,Acts,7
Matthew,8,Genesis,15-16,Romans,8,Joshua,15-16,Isaiah,15-16,Psalms,15-16,Proverbs,8,Daniel,2,Acts,8
Matthew,9,Genesis,17-18,Romans,9,Joshua,17-18,Isaiah,17-18,Psalms,17-18,Proverbs,9,Daniel,3,Acts,9
Matthew,10,Genesis,19-20,Romans,10,Joshua,19-20,Isaiah,19-20,Psalms,19-20,Proverbs,10,Daniel,4,Acts,10
Matthew,11,Genesis,21-22,Romans,11,Joshua,21-22,Isaiah,21-22,Psalms,21-22,Proverbs,11,Daniel,5,Acts,11
Matthew,12,Genesis,23,Romans,12,Joshua,23-24,Isaiah,23-24,Psalms,23-24,Proverbs,12,Daniel,6,Acts,12
Matthew,13,Genesis,24,Romans,13,Judges,1-2,Isaiah,25-26,Psalms,25-26,Proverbs,13,Daniel,7,Acts,13
Matthew,14,Genesis,25-26,Romans,14,Judges,3-4,Isaiah,27-28,Psalms,27-28,Proverbs,14,Daniel,8,Acts,14
Matthew,15,Genesis,27-28,Romans,15,Judges,5-6,Isaiah,29-30,Psalms,29-30,Proverbs,15,Daniel,9,Acts,15
Matthew,16,Genesis,29-30,Romans,16,Judges,7-8,Isaiah,31-32,Psalms,31-32,Proverbs,16,Daniel,10,Acts,16
Matthew,17,Genesis,31-32,1 Corinthians,1,Judges,9-10,Isaiah,33-34,Psalms,33-34,Proverbs,17,Daniel,11,Acts,17
Matthew,18,Genesis,33-34,1 Corinthians,2,Judges,11-12,Isaiah,35-36,Psalms,35-36,Proverbs,18,Daniel,12,Acts,18
Matthew,19,Genesis,35-36,1 Corinthians,3,Judges,13-14,Isaiah,37-38,Psalms,37-38,Proverbs,19,Ezra,1,Acts,19
Matthew,20,Genesis,37-38,1 Corinthians,4,Judges,15-16,Isaiah,39-40,Psalms,39-40,Proverbs,20,Ezra,2,Acts,20
Matthew,21,Genesis,39-40,1 Corinthians,5,Judges,17-18,Isaiah,41-42,Psalms,41-42,Proverbs,21,Ezra,3,Acts,21
Matthew,22,Genesis,41-42,1 Corinthians,6,Judges,19-20,Isaiah,43-44,Psalms,43-44,Proverbs,22,Ezra,4,Acts,22
Matthew,23,Genesis,43-44,1 Corinthians,7,"Judges 21, 1 Samuel 1",,Isaiah,45-46,Psalms,45-46,Proverbs,23,Ezra,5,Acts,23
Matthew,24,Genesis,45-46,1 Corinthians,8,1 Samuel,2-3,Isaiah,47-48,Psalms,47-48,Proverbs,24,Ezra,6,Acts,24
Matthew,25,Genesis,47-48,1 Corinthians,9,1 Samuel,4-5,Isaiah,49-50,Psalms,49-50,Proverbs,25,Ezra,7,Acts,25
Matthew,26,Genesis,49-50,1 Corinthians,10,1 Samuel,6-7,Isaiah,51-52,Psalms,51-52,Proverbs,26,Ezra,8,Acts,26
Matthew,27,Exodus,1-2,1 Corinthians,11,1 Samuel,8-9,Isaiah,53-54,Psalms,53-54,Proverbs,27,Ezra,9,Acts,27
Matthew,28,Exodus,3-4,1 Corinthians,12,1 Samuel,10-11,Isaiah,55-56,Psalms,55-56,Proverbs,28,Ezra,10,Acts,28
Mark,1,Exodus,5-6,1 Corinthians,13,1 Samuel,12-13,Isaiah,57-58,Psalms,57-58,Proverbs,29,Nehemiah,1,Hebrews,1
Mark,2,Exodus,7-8,1 Corinthians,14,1 Samuel,14-15,Isaiah,59-60,Psalms,59-60,Proverbs,30,Nehemiah,2,Hebrews,2
Mark,3,Exodus,9-10,1 Corinthians,15,1 Samuel,16-17,Isaiah,61-62,Psalms,61-62,Proverbs,31,Nehemiah,3,Hebrews,3
Mark,4,Exodus,11-12,1 Corinthians,16,1 Samuel,18-19,Isaiah,63-64,Psalms,63-64,Job,1,Nehemiah,4,Hebrews,4
Mark,5,Exodus,13-14,2 Corinthians,1,1 Samuel,20-21,Isaiah,65-66,Psalms,65-66,Job,2,Nehemiah,5,Hebrews,5
Mark,6,Exodus,15-16,2 Corinthians,2,1 Samuel,22-23,Jeremiah,1-2,Psalms,67-68,Job,3,Nehemiah,6,Hebrews,6
Mark,7,Exodus,17-18,2 Corinthians,3,1 Samuel,24-25,Jeremiah,3-4,Psalms,69-70,Job,4,Nehemiah,7,Hebrews,7
Mark,8,Exodus,19-20,2 Corinthians,4,1 Samuel,26-27,Jeremiah,5-6,Psalms,71-72,Job,5,Nehemiah,8,Hebrews,8
Mark,9,Exodus,21-22,2 Corinthians,5,1 Samuel,28-29,Jeremiah,7-8,Psalms,73-74,Job,6,Nehemiah,9,Hebrews,9
Mark,10,Exodus,23-24,2 Corinthians,6,1 Samuel,30-31,Jeremiah,9-10,Psalms,75-76,Job,7,Nehemiah,10,Hebrews,10
Mark,11,Exodus,25-26,2 Corinthians,7,2 Samuel,1-2,Jeremiah,11-12,Psalms,77-78,Job,8,Nehemiah,11,Hebrews,11
Mark,12,Exodus,27-28,2 Corinthians,8,2 Samuel,3-4,Jeremiah,13-14,Psalms,79-80,Job,9,Nehemiah,12,Hebrews,12
Mark,13,Exodus,29,2 Corinthians,9,2 Samuel,5-6,Jeremiah,15-16,Psalms,81-82,Job,10,Nehemiah,13,Hebrews,13
Mark,14,Exodus,30-31,2 Corinthians,10,2 Samuel,7-8,Jeremiah,17-18,Psalms,83-84,Job,11,1 Chronicles,1,James,1
Mark,15,Exodus,32-33,2 Corinthians,11,2 Samuel,9-10,Jeremiah,19-20,Psalms,85-86,Job,12,1 Chronicles,2,James,2
Mark,16,Exodus,34-35,2 Corinthians,12,2 Samuel,11-12,Jeremiah,21-22,Psalms,87-88,Job,13,1 Chronicles,3,James,3
Luke,1,Exodus,36-37,2 Corinthians,13,2 Samuel,13-14,Jeremiah,23-24,Psalms,89-90,Job,14,1 Chronicles,4,James,4
Luke,2,Exodus,38,Galatians,1,2 Samuel,15-16,Jeremiah,25-26,Psalms,91-92,Job,15,1 Chronicles,5,James,5
Luke,3,Exodus,39-40,Galatians,2,2 Samuel,17-18,Jeremiah,27-28,Psalms,93-94,Job,16,1 Chronicles,6,1 Peter,1
Luke,4,Leviticus,1-2,Galatians,3,2 Samuel,19-20,Jeremiah,29-30,Psalms,95-96,Job,17,1 Chronicles,7,1 Peter,2
Luke,5,Leviticus,3-4,Galatians,4,2 Samuel,21-22,Jeremiah,31,Psalms,97-98,Job,18,1 Chronicles,8,1 Peter,3
Luke,6,Leviticus,5-6,Galatians,5,2 Samuel,23-24,Jeremiah,32,Psalms,99-100,Job,19,1 Chronicles,9,1 Peter,4
Luke,7,Leviticus,7-8,Galatians,6,1 Kings,1,Jeremiah,33-34,Psalms,101-102,Job,20,1 Chronicles,10,1 Peter,5
Luke,8,Leviticus,9-10,Ephesians,1,1 Kings,2,Jeremiah,35-36,Psalms,103-104,Job,21,1 Chronicles,11,2 Peter,1
Luke,9,Leviticus,11-12,Ephesians,2,1 Kings,3-4,Jeremiah,37-38,Psalms,105-106,Job,22,1 Chronicles,12,2 Peter,2
Luke,10,Leviticus,13,Ephesians,3,1 Kings,5-6,Jeremiah,39-40,Psalms,107-108,Job,23,1 Chronicles,13,2 Peter,3
Luke,11,Leviticus,14,Ephesians,4,1 Kings,7,Jeremiah,41-42,Psalms,109-110,Job,24,1 Chronicles,14,1 John,1
Luke,12,Leviticus,15-16,Ephesians,5,1 Kings,8,Jeremiah,43-44,Psalms,111-112,Job,25,1 Chronicles,15,1 John,2
Luke,13,Leviticus,17-18,Ephesians,6,1 Kings,9-10,Jeremiah,45-46,Psalms,113-114,Job,26,1 Chronicles,16,1 John,3
Luke,14,Leviticus,19-20,Philippians,1,1 Kings,11-12,Jeremiah,47-48,Psalms,115-116,Job,27,1 Chronicles,17,1 John,4
Luke,15,Leviticus,21-22,Philippians,2,1 Kings,13-14,Jeremiah,49,Psalms,117-118,Job,28,1 Chronicles,18,1 John,5
Luke,16,Leviticus,23-24,Philippians,3,1 Kings,15-16,Jeremiah,50,Psalms,119-120,Job,29,1 Chronicles,19,2 John,1
Luke,17,Leviticus,25,Philippians,4,1 Kings,17-18,Jeremiah,51,Psalms,121-122,Job,30,1 Chronicles,20,3 John  ,1
Luke,18,Leviticus,26-27,Colossians,1,1 Kings,19-20,Jeremiah,52,Psalms,123-124,Job,31,1 Chronicles,21,Jude,1
Luke,19,Numbers,1,Colossians,2,1 Kings,21-22,Hosea,1-2,Psalms,125-126,Job,32,1 Chronicles,22,Revelation,1
Luke,20,Numbers,2,Colossians,3,2 Kings,1-2,Hosea,3-4,Psalms,127-128,Job,33,1 Chronicles,23,Revelation,2
Luke,21,Numbers,3,Colossians,4,2 Kings,3-4,Hosea,5-6,Psalms,129-130,Job,34,1 Chronicles,24,Revelation,3
Luke,22,Numbers,4,1 Thess.,1,2 Kings,5-6,Hosea,7-8,Psalms,131-132,Job,35,1 Chronicles,25,Revelation,4
Luke,23,Numbers,5-6,1 Thess.,2,2 Kings,7-8,Hosea,9-10,Psalms,133-134,Job,36,1 Chronicles,26,Revelation,5
Luke,24,Numbers,7,1 Thess.,3,2 Kings,9-10,Hosea,11-12,Psalms,135-136,Job,37,1 Chronicles,27,Revelation,6
John,1,Numbers,8-9,1 Thess.,4,2 Kings,11-12,Hosea,13-14,Psalms,137-138,Job,38,1 Chronicles,28,Revelation,7
John,2,Numbers,10-11,1 Thess.,5,2 Kings,13-14,       Joel,1-2,Psalms,139-140,Job,39,1 Chronicles,29,Revelation,8
John,3,Numbers,12-13,2 Thess.,1,2 Kings,15-16,"Joel 3, Amos 1",,Psalms,141-142,Job,40,2 Chronicles,1,Revelation,9-10
John,4,Numbers,14,2 Thess.,2,2 Kings,17-18,Amos,2-3,Psalms,143-144,Job,41,2 Chronicles,2,Revelation,11
John,5,Numbers,15,2 Thess.,3,2 Kings,19-20,Amos,4-5,Psalms,145-146,Job,42,2 Chronicles,3,Revelation,12
John,6,Numbers,16-17,1 Timothy,1,2 Kings,21-22,Amos,6-7,Psalms,147-148,Song,1,2 Chronicles,4,Revelation,13
John,7,Numbers,18-19,1 Timothy,2,2 Kings,23-24,Amos,8-9,Psalms,149-150,Song,2,2 Chronicles,5,Revelation,14
John,8,Numbers,20-21,1 Timothy,3,"2 Kings 25, Ezekiel 1",,"Obadiah, Jonah 1-2",,Lamentations,1,Song,3,2 Chronicles,6,Revelation,15
John,9,Numbers,22,1 Timothy,4,Ezekiel,2-3,"Jonah 3-4, Micah 1",,Lamentations,2,Song,4,2 Chronicles,7,Revelation,16
John,10,Numbers,23-24,1 Timothy,5,Ezekiel,4-6,Micah,2-4,Lamentations,3,Song,5,2 Chronicles,8,Revelation,17
John,11,Numbers,25,1 Timothy,6,Ezekiel,7-8,Micah,5-6,Lamentations,4,Song,6,2 Chronicles,9,Revelation,18
John,12,Numbers,26,2 Timothy,1,Ezekiel,9-11,"Micah 7, Nahum 1  ",,Lamentations,5,Song,7,2 Chronicles,10,Revelation,19
John,13,Numbers,27-28,2 Timothy,2,Ezekiel,12-14,Nahum,2-3,Ecclesiastes,1-2,Song,8,2 Chronicles,11-12,Revelation,20
John,14,Numbers,29-30,2 Timothy,3,Ezekiel,15-16,Habakkuk,1-2,Ecclesiastes,3-4,Ruth,1,2 Chronicles,13-14,Revelation,21
John,15,Numbers,31,2 Timothy,4,Ezekiel,17-18,"Habakkuk 3, Zephaniah 1",,Ecclesiastes,5-6,Ruth,2,2 Chronicles,15-16,Revelation,22
John,16,Numbers,32,Titus,1,Ezekiel,19-20,Zephaniah,2-3,Ecclesiastes,7-8,Ruth,3,2 Chronicles,17,,
John,17,Numbers,33,Titus,2,Ezekiel,21-22,Haggai,1-2,Ecclesiastes,9-10,Ruth,4,2 Chronicles,18,,
John,18,Numbers,34,Titus,3,Ezekiel,23-24,Zechariah,1-2,Ecclesiastes,11-12,,,2 Chronicles,19,,
John,19,Numbers,35-36,Philemon,1,Ezekiel,25-26,Zechariah,3-4,,,,,2 Chronicles,20,,
John,20,Deuteronomy,1,,,Ezekiel,27-28,Zechariah,5-6,,,,,2 Chronicles,21-22,,
John,21,Deuteronomy,2-3,,,Ezekiel,29-30,Zechariah,7-8,,,,,2 Chronicles,23,,
,,Deuteronomy,4,,,Ezekiel,31-32,Zechariah,9-10,,,,,2 Chronicles,24,,
,,Deuteronomy,5-6,,,Ezekiel,33-34,Zechariah,11-12,,,,,2 Chronicles,25,,
,,Deuteronomy,7-8,,,Ezekiel,35-36,Zechariah,13-14,,,,,2 Chronicles,26-27,,
,,Deuteronomy,9-10,,,Ezekiel,37-38,Malachi,1-2,,,,,2 Chronicles,28,,
,,Deuteronomy,11-12,,,Ezekiel,39-40,Malachi,3-4,,,,,2 Chronicles,29,,
,,Deuteronomy,13-14,,,Ezekiel,41-42,,,,,,,2 Chronicles,30,,
,,Deuteronomy,15-16,,,Ezekiel,43-44,,,,,,,2 Chronicles,31,,
,,Deuteronomy,17-18,,,Ezekiel,45-46,,,,,,,2 Chronicles,32,,
,,Deuteronomy,19-20,,,Ezekiel,47-48,,,,,,,2 Chronicles,33,,
,,Deuteronomy,21-22,,,,,,,,,,,2 Chronicles,34,,
,,Deuteronomy,23-24,,,,,,,,,,,2 Chronicles,35,,
,,Deuteronomy,25-26,,,,,,,,,,,2 Chronicles,36,,
,,Deuteronomy,27,,,,,,,,,,,,,,
,,Deuteronomy,28,,,,,,,,,,,,,,
,,Deuteronomy,29,,,,,,,,,,,,,,
,,Deuteronomy,30-31,,,,,,,,,,,,,,
,,Deuteronomy,32,,,,,,,,,,,,,,
,,Deuteronomy,33-34,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
